Waiting on bqjob_r479913b59d576ec_0000019c15bd43ea_1 ... (0s) Current status: RUNNING                                                                                     Waiting on bqjob_r479913b59d576ec_0000019c15bd43ea_1 ... (0s) Current status: DONE   
tag,total_answers,questions_answered,competition_ratio,total_score,avg_score,median_score,p75_score,p90_score,pct_positive,pct_score_5plus,accepted_answers,acceptance_rate_pct,avg_rep_per_answer,recent_opportunity_score
npm,2980,2007,1.48,7080,2.376,0,2,4,47.82,9.83,658,22.08,27.07,42.23
kdb,892,569,1.57,1796,2.013,2,3,4,86.21,6.17,406,45.52,26.96,42.06
vuejs3,520,398,1.31,1115,2.144,0,1,3,46.15,5.38,190,36.54,26.92,42.0
swiftui,6045,4416,1.37,12394,2.05,1,2,4,59.34,9.18,2587,42.8,26.92,42.0
vaadin,512,427,1.2,1002,1.957,1,3,4,73.05,9.77,227,44.34,26.22,40.9
perl,4404,3021,1.46,9318,2.116,2,3,5,78.59,11.19,1468,33.33,26.16,40.81
kubernetes-helm,710,550,1.29,1489,2.097,1,2,4,59.3,10.0,242,34.08,26.08,40.69
typescript,35905,26571,1.35,70193,1.955,1,2,3,61.36,7.08,14987,41.74,25.81,40.26
terraform,4192,3301,1.27,8136,1.941,1,2,4,61.81,7.92,1708,40.74,25.52,39.81
functional-programming,664,463,1.43,1278,1.925,1,3,5,72.29,10.69,272,40.96,25.39,39.61
tailwind-css,621,428,1.45,1245,2.005,1,2,4,56.68,9.98,220,35.43,25.36,39.57
azure-data-explorer,741,634,1.17,1199,1.618,1,2,3,75.98,4.86,449,60.59,25.27,39.42
next.js,2200,1608,1.37,4423,2.01,1,2,4,52.68,8.73,697,31.68,24.86,38.78
nestjs,1294,934,1.39,2573,1.988,1,2,5,53.86,10.59,421,32.53,24.76,38.63
asynchronous,804,631,1.27,1518,1.888,1,2,5,64.05,10.07,315,39.18,24.76,38.62
coq,878,678,1.29,1424,1.622,1,2,3,79.16,3.76,491,55.92,24.61,38.39
ocaml,803,612,1.31,1399,1.742,1,3,4,73.47,7.6,382,47.57,24.56,38.31
kotlin,11305,8096,1.4,20604,1.823,1,2,4,63.63,7.82,4642,41.06,24.38,38.04
docker,32664,23586,1.38,65144,1.994,1,2,4,53.51,8.3,9631,29.49,24.37,38.01
anaconda,591,376,1.57,1263,2.137,1,2,5,51.78,10.15,108,18.27,24.11,31.35
blazor,2027,1427,1.42,3734,1.842,1,2,4,61.67,8.68,747,36.85,23.95,37.36
ubuntu,3877,2706,1.43,7952,2.051,0,2,4,46.35,9.29,872,22.49,23.88,37.26
continuous-integration,666,517,1.29,1276,1.916,1,2,4,52.4,9.01,207,31.08,23.82,37.16
pip,519,372,1.4,1041,2.006,1,2,5,52.22,10.6,127,24.47,23.73,37.02
sass,900,718,1.25,1671,1.857,0,1,3,49.0,6.78,291,32.33,23.42,36.53
go,18261,13873,1.32,32418,1.775,1,2,4,63.38,8.06,6847,37.5,23.38,36.47
google-chrome,3469,2445,1.42,7062,2.036,0,2,4,46.9,8.94,684,19.72,23.32,30.31
google-colaboratory,677,488,1.39,1375,2.031,0,2,5,49.34,10.64,127,18.76,23.12,30.06
kubernetes,20946,15176,1.38,38177,1.823,1,2,4,64.21,7.22,6630,31.65,22.97,35.84
yaml,934,776,1.2,1534,1.642,1,2,3,60.28,7.39,405,43.36,22.93,35.77
docker-compose,801,622,1.29,1423,1.777,0,1,3,48.69,8.24,264,32.96,22.71,35.43
clojure,1630,1059,1.54,2850,1.748,1,3,4,71.23,8.77,560,34.36,22.64,35.32
datetime,1017,715,1.42,1804,1.774,1,2,3,53.1,7.08,312,30.68,22.34,34.85
dictionary,878,685,1.28,1388,1.581,1,2,4,57.86,8.2,375,42.71,22.22,34.66
delphi,3982,3279,1.21,6298,1.582,1,2,4,64.36,8.64,1562,39.23,21.7,33.85
google-chrome-extension,739,623,1.19,1284,1.737,0,1,3,45.33,5.95,211,28.55,21.66,33.79
openssl,627,500,1.25,1056,1.684,0,2,4,48.8,8.61,195,31.1,21.51,33.55
elixir,1405,1060,1.33,2155,1.534,1,2,4,66.76,7.33,568,40.43,21.4,33.39
string,5354,3523,1.52,8794,1.643,1,2,4,57.38,7.25,1732,32.35,21.28,33.19
postman,950,709,1.34,1640,1.726,0,2,4,48.74,7.89,250,26.32,21.21,33.09
fortran,885,718,1.23,1331,1.504,1,2,4,70.4,4.86,362,40.9,21.18,33.03
jwt,594,458,1.3,964,1.623,1,1,3,50.84,6.57,193,32.49,21.1,32.92
vim,3626,2695,1.35,6061,1.672,1,2,4,60.12,7.69,1041,28.71,21.02,32.79
c++,156446,111969,1.4,236934,1.514,1,2,4,61.75,6.63,57876,36.99,20.69,32.28
erlang,616,472,1.31,938,1.523,1,2,4,70.62,4.71,220,35.71,20.58,32.11
opengl,1084,962,1.13,1482,1.367,1,2,3,64.39,3.6,496,45.76,20.54,32.03
gremlin,638,566,1.13,768,1.204,1,2,3,69.59,2.19,361,56.58,20.53,32.02
keycloak,886,680,1.3,1415,1.597,1,2,4,58.01,8.01,266,30.02,20.47,31.94
uml,597,449,1.33,855,1.432,1,2,3,73.87,2.18,243,40.7,20.43,31.87
http,2950,2340,1.26,4638,1.572,1,1,3,52.78,6.81,909,30.81,20.34,31.74
material-ui,741,553,1.34,1204,1.625,0,1,4,47.23,9.04,198,26.72,20.26,31.6
awk,4350,2003,2.17,6651,1.529,1,2,3,72.34,4.09,1434,32.97,20.23,24.28
swift,37159,27958,1.33,52794,1.421,1,1,3,53.93,5.48,14707,39.58,20.14,31.43
swagger,794,646,1.23,1233,1.553,1,2,3,51.89,6.8,242,30.48,20.1,31.36
parsing,1114,924,1.21,1449,1.301,1,2,3,63.82,3.14,526,47.22,20.09,31.34
ios,77399,55505,1.39,123085,1.59,0,1,3,49.0,6.7,21521,27.81,20.07,31.31
chart.js,763,631,1.21,1073,1.406,0,1,2,48.49,4.46,302,39.58,20.0,31.2
function,2498,1870,1.34,3521,1.41,1,2,3,56.41,6.33,961,38.47,19.87,30.99
netlogo,614,544,1.13,774,1.261,1,2,3,76.22,0.33,293,47.72,19.76,30.83
jq,524,369,1.42,670,1.279,1,2,3,64.5,2.67,243,46.37,19.74,30.8
scala,16123,12321,1.31,22453,1.393,1,2,3,63.51,4.98,6239,38.7,19.73,30.78
redis,1718,1379,1.25,2601,1.514,1,2,3,56.11,6.11,523,30.44,19.71,30.74
class,728,583,1.25,1029,1.413,1,2,4,53.98,7.69,269,36.95,19.68,30.7
firebase,20602,15379,1.34,29322,1.423,1,1,3,55.32,5.18,7474,36.28,19.67,30.69
multithreading,2195,1802,1.22,3011,1.372,1,2,3,59.36,5.42,863,39.32,19.62,30.6
gradle,2781,2100,1.32,4270,1.535,0,1,3,49.73,7.12,788,28.34,19.6,30.58
animation,662,528,1.25,940,1.42,1,2,3,54.68,6.04,238,35.95,19.59,30.56
gitlab,2685,2078,1.29,3984,1.484,1,1,3,51.51,6.85,848,31.58,19.58,30.54
unit-testing,2809,2191,1.28,4285,1.525,1,2,4,53.08,6.87,802,28.55,19.54,30.48
visual-studio-2019,511,371,1.38,767,1.501,0,2,4,48.34,8.61,153,29.94,19.5,30.42
list,4941,3367,1.47,6833,1.383,1,2,3,57.7,5.73,1856,37.56,19.46,30.36
google-maps,1192,941,1.27,1926,1.616,0,1,3,44.13,7.8,262,21.98,19.45,30.35
svg,1251,1034,1.21,1704,1.362,1,2,3,61.95,3.92,485,38.77,19.44,30.32
twitter-bootstrap,1485,1070,1.39,2382,1.604,0,1,3,44.98,6.53,335,22.56,19.42,30.3
cmake,2058,1732,1.19,2839,1.379,1,2,3,56.95,5.69,762,37.03,19.35,30.18
jupyter-notebook,1225,902,1.36,1948,1.59,1,2,4,50.37,7.35,278,22.69,19.31,30.12
