tag,volume_tier,roi_tier,total_answers,total_score,avg_score,pct_positive,recent_answers,recent_avg_score,recent_trend,opportunity_score
multithreading,3_medium (10K-30K),B_medium_roi (3-5),20744,76378,3.682,67.84,2195,1.372,declining,6.63
performance,3_medium (10K-30K),B_medium_roi (3-5),27742,101054,3.643,68.13,2610,1.32,declining,6.56
ruby-on-rails-3,3_medium (10K-30K),B_medium_roi (3-5),19248,67774,3.521,61.2,170,1.182,declining,5.28
testing,3_medium (10K-30K),B_medium_roi (3-5),13339,46839,3.511,62.2,2270,1.261,declining,6.32
groovy,3_medium (10K-30K),B_medium_roi (3-5),11436,39367,3.442,66.86,1529,0.832,declining,6.2
ansible,3_medium (10K-30K),B_medium_roi (3-5),14873,50227,3.377,61.32,6197,1.041,declining,6.08
linq,3_medium (10K-30K),B_medium_roi (3-5),14574,48914,3.356,63.04,663,0.706,declining,5.03
list,3_medium (10K-30K),B_medium_roi (3-5),24228,79297,3.273,69.7,4941,1.383,declining,5.89
user-interface,3_medium (10K-30K),B_medium_roi (3-5),10126,33015,3.26,64.74,848,1.212,declining,4.89
machine-learning,3_medium (10K-30K),B_medium_roi (3-5),16143,51699,3.203,62.08,3616,0.969,declining,5.76
assembly,3_medium (10K-30K),B_medium_roi (3-5),28260,90074,3.187,77.01,4648,2.14,declining,5.74
networking,3_medium (10K-30K),B_medium_roi (3-5),11715,37043,3.162,56.18,1641,0.881,declining,5.69
jenkins,3_medium (10K-30K),B_medium_roi (3-5),26847,84708,3.155,54.94,7190,0.928,declining,5.68
opengl,3_medium (10K-30K),B_medium_roi (3-5),16295,50733,3.113,74.69,1084,1.367,declining,5.6
asp.net-mvc-3,3_medium (10K-30K),B_medium_roi (3-5),18505,57389,3.101,60.83,127,0.465,declining,4.65
authentication,3_medium (10K-30K),B_medium_roi (3-5),12731,39171,3.077,56.63,2582,1.196,declining,5.54
google-maps,3_medium (10K-30K),B_medium_roi (3-5),16371,49165,3.003,56.93,1192,1.616,declining,5.41
curl,4_small (3K-10K),A_high_roi (5+),5295,40127,7.578,58.56,1146,1.25,declining,13.64
syntax,4_small (3K-10K),A_high_roi (5+),3233,24357,7.534,75.13,405,1.842,declining,11.3
maven-2,4_small (3K-10K),A_high_roi (5+),4059,30280,7.46,72.51,105,1.6,declining,11.19
unicode,4_small (3K-10K),A_high_roi (5+),3894,27449,7.049,74.68,443,1.465,declining,10.57
command-line,4_small (3K-10K),A_high_roi (5+),4770,32175,6.745,67.42,554,1.097,declining,10.12
ssh,4_small (3K-10K),A_high_roi (5+),7734,50104,6.478,58.47,1734,1.433,declining,11.66
dictionary,4_small (3K-10K),A_high_roi (5+),3359,21515,6.405,67.85,878,1.581,declining,9.61
design-patterns,4_small (3K-10K),A_high_roi (5+),9925,63415,6.389,69.04,604,1.089,declining,9.58
functional-programming,4_small (3K-10K),A_high_roi (5+),5113,30820,6.028,82.91,664,1.925,declining,9.04
vagrant,4_small (3K-10K),A_high_roi (5+),3452,20188,5.848,61.53,357,1.454,declining,8.77
latex,4_small (3K-10K),A_high_roi (5+),6358,36909,5.805,75.43,1493,1.09,declining,10.45
redis,4_small (3K-10K),A_high_roi (5+),6689,38067,5.691,68.37,1718,1.514,declining,10.24
programming-languages,4_small (3K-10K),A_high_roi (5+),5778,32468,5.619,75.7,92,0.935,declining,8.43
cmake,4_small (3K-10K),A_high_roi (5+),6936,38076,5.49,69.36,2058,1.379,declining,9.88
mercurial,4_small (3K-10K),A_high_roi (5+),7639,41560,5.441,77.18,170,1.194,declining,8.16
npm,4_small (3K-10K),A_high_roi (5+),7171,38520,5.372,57.02,2980,2.376,declining,9.67
datetime,4_small (3K-10K),A_high_roi (5+),4847,24520,5.059,63.42,1017,1.774,declining,9.11
gcc,4_small (3K-10K),A_high_roi (5+),9273,46772,5.044,70.95,1190,1.129,declining,9.08
dependency-injection,4_small (3K-10K),A_high_roi (5+),3169,15874,5.009,72.26,355,1.372,declining,7.51
comments,5_niche (500-3K),A_high_roi (5+),1229,36576,29.761,76.57,66,0.515,declining,44.64
homebrew,5_niche (500-3K),A_high_roi (5+),1066,19684,18.465,68.86,347,9.98,declining,27.7
integer,5_niche (500-3K),A_high_roi (5+),609,10662,17.507,62.4,88,0.602,declining,26.26
http-headers,5_niche (500-3K),A_high_roi (5+),852,13405,15.734,66.43,153,1.222,declining,23.6
sublimetext,5_niche (500-3K),A_high_roi (5+),802,12225,15.243,73.69,98,1.531,declining,22.86
git,1_mega (100K+),A_high_roi (5+),194634,2822265,14.5,70.24,38904,2.38,declining,17.4
tmux,5_niche (500-3K),A_high_roi (5+),721,10275,14.251,74.2,192,2.401,declining,21.38
keyboard-shortcuts,5_niche (500-3K),A_high_roi (5+),948,12459,13.142,75.74,116,1.716,declining,19.71
markdown,5_niche (500-3K),A_high_roi (5+),2269,29337,12.929,73.6,687,3.044,declining,19.39
terminology,5_niche (500-3K),A_high_roi (5+),1116,13967,12.515,76.25,62,1.839,declining,18.77
sublimetext2,5_niche (500-3K),A_high_roi (5+),2270,26704,11.764,71.76,80,2.225,declining,17.65
vim,2_large (30K-100K),A_high_roi (5+),35271,360858,10.231,79.27,3626,1.672,declining,18.42
wget,5_niche (500-3K),A_high_roi (5+),542,5414,9.989,57.93,93,0.667,declining,14.98
editor,5_niche (500-3K),A_high_roi (5+),1371,13495,9.843,67.4,130,1.685,declining,14.76
memory-management,5_niche (500-3K),A_high_roi (5+),2480,23066,9.301,69.4,279,1.358,declining,13.95
syntax-highlighting,5_niche (500-3K),A_high_roi (5+),577,5339,9.253,74.0,44,0.568,declining,13.88
enums,5_niche (500-3K),A_high_roi (5+),1250,11459,9.167,76.88,311,3.659,declining,13.75
notepad++,5_niche (500-3K),A_high_roi (5+),2491,22604,9.074,62.06,417,0.897,declining,13.61
angular-cli,5_niche (500-3K),A_high_roi (5+),791,6633,8.386,59.54,281,3.26,declining,12.58
windows-services,5_niche (500-3K),A_high_roi (5+),1335,11155,8.356,64.34,79,0.987,declining,12.53
virtualbox,5_niche (500-3K),A_high_roi (5+),1160,9499,8.189,59.74,194,1.629,declining,12.28
localhost,5_niche (500-3K),A_high_roi (5+),793,6221,7.845,52.08,134,1.082,declining,11.77
pip,5_niche (500-3K),A_high_roi (5+),1212,9359,7.722,61.72,519,2.006,declining,11.58
rubygems,5_niche (500-3K),A_high_roi (5+),779,5813,7.462,61.36,83,3.964,declining,11.19
ipython,5_niche (500-3K),A_high_roi (5+),1329,9756,7.341,68.92,206,2.112,declining,11.01
zsh,5_niche (500-3K),A_high_roi (5+),1581,11554,7.308,71.6,601,2.779,declining,10.96
icons,5_niche (500-3K),A_high_roi (5+),858,6186,7.21,63.05,108,2.056,declining,10.81
theory,5_niche (500-3K),A_high_roi (5+),608,4361,7.173,69.9,30,0.3,declining,10.76
formatting,5_niche (500-3K),A_high_roi (5+),1032,7383,7.154,66.76,174,1.718,declining,10.73
cocoapods,5_niche (500-3K),A_high_roi (5+),831,5863,7.055,60.05,187,3.615,declining,10.58
jinja2,5_niche (500-3K),A_high_roi (5+),642,4514,7.031,61.21,249,0.896,declining,10.55
momentjs,5_niche (500-3K),A_high_roi (5+),628,4387,6.986,62.26,159,1.182,declining,10.48
google-chrome-devtools,5_niche (500-3K),A_high_roi (5+),1008,7006,6.95,66.17,290,3.131,declining,10.43
compression,5_niche (500-3K),A_high_roi (5+),1296,8974,6.924,68.52,161,1.012,declining,10.39
nuget,5_niche (500-3K),A_high_roi (5+),2613,18068,6.915,65.14,415,1.301,declining,10.37
openssl,5_niche (500-3K),A_high_roi (5+),2375,16421,6.914,64.25,627,1.684,declining,10.37
terminal,5_niche (500-3K),A_high_roi (5+),2610,17839,6.835,60.34,667,1.43,declining,10.25
64-bit,5_niche (500-3K),A_high_roi (5+),600,4044,6.74,66.67,32,2.031,declining,10.11
grep,5_niche (500-3K),A_high_roi (5+),2002,13444,6.715,61.14,362,1.155,declining,10.07
travis-ci,5_niche (500-3K),A_high_roi (5+),635,4214,6.636,70.39,73,1.288,declining,9.95
constructor,5_niche (500-3K),A_high_roi (5+),593,3913,6.599,71.5,66,2.667,declining,9.9
xcode4,5_niche (500-3K),A_high_roi (5+),1133,7238,6.388,63.46,14,0.571,declining,9.58
path,5_niche (500-3K),A_high_roi (5+),1477,9254,6.265,59.78,225,1.538,declining,9.4
jestjs,5_niche (500-3K),A_high_roi (5+),1446,9045,6.255,58.23,909,2.598,declining,9.38
resources,5_niche (500-3K),A_high_roi (5+),838,5236,6.248,69.81,56,1.804,declining,9.37
gdb,5_niche (500-3K),A_high_roi (5+),2192,13583,6.197,71.49,347,1.055,declining,9.29
casting,5_niche (500-3K),A_high_roi (5+),725,4486,6.188,71.86,89,2.36,declining,9.28
xcode,2_large (30K-100K),A_high_roi (5+),43143,266422,6.175,60.93,5096,2.634,declining,11.12
themes,5_niche (500-3K),A_high_roi (5+),795,4899,6.162,60.75,138,1.913,declining,9.24
raku,5_niche (500-3K),A_high_roi (5+),1334,8203,6.149,97.45,460,6.217,stable,9.22
android-emulator,5_niche (500-3K),A_high_roi (5+),1200,7371,6.142,55.67,164,2.896,declining,9.21
protocol-buffers,5_niche (500-3K),A_high_roi (5+),1106,6749,6.102,68.17,376,1.955,declining,9.15
coding-style,5_niche (500-3K),A_high_roi (5+),2700,16415,6.08,73.3,73,2.0,declining,9.12
graphviz,5_niche (500-3K),A_high_roi (5+),1240,7457,6.014,73.39,290,1.062,declining,9.02
bash,1_mega (100K+),A_high_roi (5+),151115,907970,6.008,68.8,28625,1.298,declining,7.21
macos,2_large (30K-100K),A_high_roi (5+),57105,343048,6.007,65.14,9082,2.678,declining,7.21
ssms,5_niche (500-3K),A_high_roi (5+),514,3084,6.0,58.17,114,0.93,declining,9.0
webstorm,5_niche (500-3K),A_high_roi (5+),832,4977,5.982,74.16,174,1.925,declining,8.97
autocomplete,5_niche (500-3K),A_high_roi (5+),1419,8448,5.953,61.59,191,2.382,declining,8.93
struct,5_niche (500-3K),A_high_roi (5+),1177,6984,5.934,78.25,332,2.19,declining,8.9
certificate,5_niche (500-3K),A_high_roi (5+),1051,6232,5.93,58.71,233,1.571,declining,8.89
phpstorm,5_niche (500-3K),A_high_roi (5+),1768,10472,5.923,74.83,313,2.259,declining,8.88
proxy,5_niche (500-3K),A_high_roi (5+),2199,13005,5.914,55.34,338,1.462,declining,8.87
permissions,5_niche (500-3K),A_high_roi (5+),1799,10633,5.911,57.14,311,1.367,declining,8.87
docker,2_large (30K-100K),A_high_roi (5+),74781,439713,5.88,61.06,32664,1.994,declining,7.06
string,2_large (30K-100K),A_high_roi (5+),34207,200873,5.872,67.28,5354,1.643,declining,10.57
hash,5_niche (500-3K),A_high_roi (5+),2785,16315,5.858,69.16,330,1.539,declining,8.79
encoding,5_niche (500-3K),A_high_roi (5+),2423,13924,5.747,63.89,270,1.174,declining,8.62
computer-science,5_niche (500-3K),A_high_roi (5+),1647,9417,5.718,68.31,122,0.713,declining,8.58
atom-editor,5_niche (500-3K),A_high_roi (5+),893,5065,5.672,63.27,181,1.309,declining,8.51
ide,5_niche (500-3K),A_high_roi (5+),2732,15123,5.536,72.14,156,1.013,declining,8.3
yaml,5_niche (500-3K),A_high_roi (5+),2008,10970,5.463,67.63,934,1.642,declining,8.19
visual-studio,2_large (30K-100K),A_high_roi (5+),51988,282572,5.435,63.22,7187,1.553,declining,6.52
ios-simulator,5_niche (500-3K),A_high_roi (5+),545,2959,5.429,57.98,43,3.907,stable,8.14
haskell,2_large (30K-100K),A_high_roi (5+),62968,341685,5.426,89.54,7546,2.909,declining,6.51
composer-php,5_niche (500-3K),A_high_roi (5+),1250,6771,5.417,59.84,276,2.076,declining,8.13
x86,5_niche (500-3K),A_high_roi (5+),1701,8995,5.288,85.54,273,2.418,declining,7.93
ef-code-first,5_niche (500-3K),A_high_roi (5+),524,2757,5.261,57.44,29,1.759,declining,7.89
cygwin,5_niche (500-3K),A_high_roi (5+),1519,7936,5.224,60.11,149,0.758,declining,7.84
handlebars.js,5_niche (500-3K),A_high_roi (5+),751,3910,5.206,61.12,123,1.024,declining,7.81
log4net,5_niche (500-3K),A_high_roi (5+),953,4928,5.171,70.2,34,0.5,declining,7.76
scroll,5_niche (500-3K),A_high_roi (5+),907,4688,5.169,53.36,172,1.366,declining,7.75
fonts,5_niche (500-3K),A_high_roi (5+),2758,14175,5.14,63.49,394,1.629,declining,7.71
linux,1_mega (100K+),A_high_roi (5+),197953,1014444,5.125,64.76,30275,1.228,declining,6.15
anaconda,5_niche (500-3K),A_high_roi (5+),1227,6272,5.112,58.76,591,2.137,declining,7.67
tabs,5_niche (500-3K),A_high_roi (5+),1023,5202,5.085,54.55,124,1.323,declining,7.63
scope,5_niche (500-3K),A_high_roi (5+),706,3582,5.074,71.25,78,1.564,declining,7.61
diff,5_niche (500-3K),A_high_roi (5+),651,3299,5.068,68.51,56,1.196,declining,7.6
download,5_niche (500-3K),A_high_roi (5+),916,4639,5.064,53.28,170,1.453,declining,7.6
concurrency,5_niche (500-3K),A_high_roi (5+),2218,11229,5.063,73.81,243,1.761,declining,7.59
colors,5_niche (500-3K),A_high_roi (5+),2491,12465,5.004,63.47,376,1.479,declining,7.51
frameworks,5_niche (500-3K),B_medium_roi (3-5),1291,6446,4.993,60.34,63,1.095,declining,7.49
floating-point,5_niche (500-3K),B_medium_roi (3-5),2221,11066,4.982,75.78,347,1.712,declining,7.47
go,2_large (30K-100K),B_medium_roi (3-5),48766,242037,4.963,72.85,18261,1.775,declining,8.93
webserver,5_niche (500-3K),B_medium_roi (3-5),679,3363,4.953,58.47,53,0.491,declining,7.43
documentation,5_niche (500-3K),B_medium_roi (3-5),1359,6729,4.951,74.25,84,2.25,declining,7.43
collections,5_niche (500-3K),B_medium_roi (3-5),1454,7091,4.877,70.36,187,2.032,declining,7.32
svn,2_large (30K-100K),B_medium_roi (3-5),33788,164677,4.874,68.62,631,0.58,declining,7.31
configuration,4_small (3K-10K),B_medium_roi (3-5),3708,18066,4.872,64.19,422,1.159,declining,7.31
react-router,5_niche (500-3K),B_medium_roi (3-5),845,4115,4.87,58.58,287,2.129,declining,7.3
directory,5_niche (500-3K),B_medium_roi (3-5),858,4177,4.868,60.37,151,1.166,declining,7.3
nosql,5_niche (500-3K),B_medium_roi (3-5),1561,7595,4.865,72.2,153,0.928,declining,7.3
types,4_small (3K-10K),B_medium_roi (3-5),3150,15281,4.851,80.22,501,2.323,declining,7.28
postgresql,2_large (30K-100K),B_medium_roi (3-5),65538,317246,4.841,65.06,21295,1.256,declining,5.81
coffeescript,5_niche (500-3K),B_medium_roi (3-5),2002,9616,4.803,71.23,16,0.688,declining,7.2
cors,5_niche (500-3K),B_medium_roi (3-5),868,4165,4.798,56.45,254,1.028,declining,7.2
cocoa-touch,4_small (3K-10K),B_medium_roi (3-5),3865,18503,4.787,62.56,32,1.156,declining,7.18
keyboard,5_niche (500-3K),B_medium_roi (3-5),1253,5998,4.787,62.41,207,1.923,declining,7.18
elixir,4_small (3K-10K),B_medium_roi (3-5),7555,36071,4.774,79.87,1405,1.534,declining,8.59
slack-api,5_niche (500-3K),B_medium_roi (3-5),506,2410,4.763,68.77,156,2.436,declining,7.14
ruby-on-rails-3.1,5_niche (500-3K),B_medium_roi (3-5),1018,4839,4.753,60.9,13,0.385,declining,7.13
file-io,5_niche (500-3K),B_medium_roi (3-5),1362,6463,4.745,68.65,75,1.04,declining,7.12
mysql-workbench,5_niche (500-3K),B_medium_roi (3-5),597,2829,4.739,50.42,156,2.622,declining,7.11
asynchronous,4_small (3K-10K),B_medium_roi (3-5),3425,16176,4.723,67.15,804,1.888,declining,7.08
windows,1_mega (100K+),B_medium_roi (3-5),111517,526579,4.722,63.08,15888,1.348,declining,5.67
sublimetext3,5_niche (500-3K),B_medium_roi (3-5),2056,9665,4.701,70.04,338,1.133,declining,7.05
python-sphinx,5_niche (500-3K),B_medium_roi (3-5),868,4068,4.687,69.93,281,1.299,declining,7.03
ruby,1_mega (100K+),B_medium_roi (3-5),177081,828476,4.679,69.72,10613,1.39,declining,5.61
matplotlib,4_small (3K-10K),B_medium_roi (3-5),3774,17613,4.667,67.86,1252,1.198,declining,8.4
generics,4_small (3K-10K),B_medium_roi (3-5),4357,20265,4.651,78.77,874,2.449,declining,6.98
naming-conventions,5_niche (500-3K),B_medium_roi (3-5),882,4096,4.644,69.05,47,1.404,declining,6.97
resharper,5_niche (500-3K),B_medium_roi (3-5),866,4005,4.625,72.4,48,0.542,declining,6.94
lisp,4_small (3K-10K),B_medium_roi (3-5),5431,25076,4.617,85.2,483,1.816,declining,6.93
elm,5_niche (500-3K),B_medium_roi (3-5),1239,5715,4.613,88.7,144,2.861,declining,6.92
static,5_niche (500-3K),B_medium_roi (3-5),563,2595,4.609,62.34,69,1.913,declining,6.91
jupyter-notebook,5_niche (500-3K),B_medium_roi (3-5),2191,10081,4.601,58.01,1225,1.59,declining,8.28
copy,5_niche (500-3K),B_medium_roi (3-5),514,2361,4.593,51.75,87,0.931,declining,6.89
typescript,2_large (30K-100K),B_medium_roi (3-5),68200,312373,4.58,66.19,35905,1.955,declining,5.5
map,5_niche (500-3K),B_medium_roi (3-5),1083,4881,4.507,68.24,24,2.958,declining,6.76
search,4_small (3K-10K),B_medium_roi (3-5),7868,35067,4.457,59.52,612,1.132,declining,6.69
reference,5_niche (500-3K),B_medium_roi (3-5),904,4028,4.456,66.7,83,1.94,declining,6.68
javafx-2,5_niche (500-3K),B_medium_roi (3-5),1334,5941,4.454,70.91,46,0.935,declining,6.68
