Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (2s) Current status: RUNNING                                                                                      Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (3s) Current status: RUNNING                                                                                      Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (4s) Current status: RUNNING                                                                                      Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (4s) Current status: DONE   
tag,total_answers,unique_answerers,unique_questions,total_score,avg_score_per_answer,avg_score_per_user,accepted_answers,acceptance_rate_pct,answers_per_question
ios,87597,35430,62864,135244,1.544,3.817,23832,27.21,1.39
laravel,86131,28501,60001,78730,0.914,2.762,26025,30.22,1.44
dart,75337,21420,48125,132580,1.76,6.19,23839,31.64,1.57
list,71038,29071,38696,68018,0.957,2.34,22578,31.78,1.84
react-native,70796,30442,48804,88401,1.249,2.904,19153,27.05,1.45
sql-server,67806,20384,46470,55431,0.817,2.719,22720,33.51,1.46
amazon-web-services,65479,28361,50228,87599,1.338,3.089,20722,31.65,1.3
spring-boot,65452,28262,48372,66136,1.01,2.34,19716,30.12,1.35
excel,65257,19437,49105,43784,0.671,2.253,23003,35.25,1.33
docker,61714,34491,44711,114253,1.851,3.313,18353,29.74,1.38
firebase,61256,26651,45810,78810,1.287,2.957,22156,36.17,1.34
vue.js,61051,24213,44649,81081,1.328,3.349,22518,36.88,1.37
postgresql,60233,23264,45012,67660,1.123,2.908,22566,37.46,1.34
string,60150,30234,33974,66107,1.099,2.187,17736,29.49,1.77
regex,59729,19988,37536,62131,1.04,3.108,23120,38.71,1.59
kotlin,55913,20308,39317,90483,1.618,4.456,20347,36.39,1.42
numpy,51842,17867,35068,58368,1.126,3.267,20154,38.88,1.48
spring,51797,23793,38148,51464,0.994,2.163,14613,28.21,1.36
azure,51268,16446,41149,46049,0.898,2.8,17960,35.03,1.25
mongodb,51246,22999,39774,45160,0.881,1.964,18748,36.58,1.29
linux,47706,25633,34843,59493,1.247,2.321,14102,29.56,1.37
bash,46885,15412,29762,60160,1.283,3.903,15259,32.55,1.58
vba,45643,9601,34508,27667,0.606,2.882,16378,35.88,1.32
git,45606,23809,30470,104650,2.295,4.395,11447,25.1,1.5
.net,44197,22999,33085,49909,1.129,2.17,13591,30.75,1.34
asp.net-core,41531,17384,30403,57084,1.374,3.284,14841,35.73,1.37
selenium,40351,14248,28262,26112,0.647,1.833,12218,30.28,1.43
oracle,40283,8828,27396,31327,0.778,3.549,12619,31.33,1.47
powershell,38551,11709,28802,41539,1.078,3.548,14828,38.46,1.34
visual-studio-code,38015,26876,24307,85885,2.259,3.196,9152,24.07,1.56
function,37737,21280,24346,34011,0.901,1.598,13057,34.6,1.55
dictionary,37335,17537,21727,37458,1.003,2.136,12864,34.46,1.72
android-studio,36996,22033,23826,74382,2.011,3.376,8871,23.98,1.55
loops,36744,20003,22486,28128,0.766,1.406,12440,33.86,1.63
wordpress,35011,16747,28348,21166,0.605,1.264,10588,30.24,1.24
express,34906,20158,26005,31351,0.898,1.555,11674,33.44,1.34
database,34671,20155,26076,27528,0.794,1.366,11421,32.94,1.33
kubernetes,34191,12606,24937,58233,1.703,4.619,10686,31.25,1.37
api,34012,24665,26306,24122,0.709,0.978,11202,32.94,1.29
algorithm,33731,15145,21175,35221,1.044,2.326,10095,29.93,1.59
windows,32411,21832,23886,40464,1.248,1.853,8747,26.99,1.36
tensorflow,32216,13978,25656,36537,1.134,2.614,10878,33.77,1.26
ruby-on-rails,30953,11419,24096,33792,1.092,2.959,9128,29.49,1.28
for-loop,30871,16742,18642,25370,0.822,1.515,10883,35.25,1.66
go,28867,11008,21876,49699,1.722,4.515,10780,37.34,1.32
google-sheets,28743,5013,21906,25769,0.897,5.14,12485,43.44,1.31
swiftui,28733,7153,20286,63802,2.221,8.92,12252,42.64,1.42
xml,28171,13526,21601,20813,0.739,1.539,10651,37.81,1.3
xcode,28142,15332,19167,57072,2.028,3.722,7608,27.03,1.47
asp.net,28140,15672,21845,21356,0.759,1.363,8025,28.52,1.29
google-cloud-firestore,27374,10629,21082,33650,1.229,3.166,11512,42.05,1.3
react-hooks,26739,12646,17570,36120,1.351,2.856,9815,36.71,1.52
csv,26398,15485,18738,20041,0.759,1.294,9067,34.35,1.41
matplotlib,26220,10872,20966,33684,1.285,3.098,11953,45.59,1.25
apache-spark,25927,7972,20103,25916,1.0,3.251,9293,35.84,1.29
dplyr,25888,3326,15358,36825,1.422,11.072,11367,43.91,1.69
unity3d,25544,10034,19558,17023,0.666,1.697,8292,32.46,1.31
macos,25449,18611,17663,59624,2.343,3.204,6089,23.93,1.44
visual-studio,25237,16324,18351,31568,1.251,1.934,7241,28.69,1.38
google-cloud-platform,24984,9276,19390,31049,1.243,3.347,8575,34.32,1.29
ruby,24776,9316,18017,31221,1.26,3.351,7419,29.94,1.38
datetime,24324,13444,16202,27405,1.127,2.038,8729,35.89,1.5
object,24203,13833,14093,21355,0.882,1.544,7897,32.63,1.72
npm,24168,19726,14958,57147,2.365,2.897,5020,20.77,1.62
.net-core,23983,12953,17552,37203,1.551,2.872,8578,35.77,1.37
date,23735,13244,15283,25540,1.076,1.928,7818,32.94,1.55
shell,23229,9742,15409,27346,1.177,2.807,7201,31.0,1.51
sorting,23209,13181,14336,23262,1.002,1.765,7589,32.7,1.62
web-scraping,23021,8871,17173,16163,0.702,1.822,9740,42.31,1.34
google-apps-script,22897,4577,18106,20779,0.907,4.54,9736,42.52,1.26
if-statement,22715,13562,13859,20297,0.894,1.497,7765,34.18,1.64
github,22199,14036,15514,49095,2.212,3.498,6239,28.1,1.43
flask,21538,12429,17245,18280,0.849,1.471,7261,33.71,1.25
ggplot2,20915,4086,16649,27789,1.329,6.801,10919,52.21,1.26
