Waiting on bqjob_r70d1e52f4548ab93_0000019c16f57451_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r70d1e52f4548ab93_0000019c16f57451_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r70d1e52f4548ab93_0000019c16f57451_1 ... (2s) Current status: RUNNING                                                                                      Waiting on bqjob_r70d1e52f4548ab93_0000019c16f57451_1 ... (3s) Current status: RUNNING                                                                                      Waiting on bqjob_r70d1e52f4548ab93_0000019c16f57451_1 ... (3s) Current status: DONE   
tag,total_answers,unique_answerers,unique_questions,avg_score,accept_rate_pct,answers_per_q,opportunity_score,expected_score_per_answer,questions_per_answerer,opportunity_tier
html,276064,102847,183714,0.72,31.76,1.5,87.12,0.229,1.79,B - Medium-High
kubernetes,34191,12606,24937,1.703,31.25,1.37,86.23,0.532,1.98,B - Medium-High
android-jetpack-compose,7413,2464,4739,3.503,39.48,1.56,84.42,1.383,1.92,B - Medium-High
shiny,9161,2286,8049,0.991,56.83,1.14,83.32,0.563,3.52,B - Medium-High
asp.net-core,41531,17384,30403,1.374,35.73,1.37,82.91,0.491,1.75,B - Medium-High
powershell,38551,11709,28802,1.078,38.46,1.34,82.42,0.414,2.46,B - Medium-High
google-apps-script,22897,4577,18106,0.907,42.52,1.26,81.66,0.386,3.96,B - Medium-High
google-cloud-firestore,27374,10629,21082,1.229,42.05,1.3,81.41,0.517,1.98,B - Medium-High
azure,51268,16446,41149,0.898,35.03,1.25,81.04,0.315,2.5,B - Medium-High
scala,20222,5762,15433,1.338,38.02,1.31,78.94,0.509,2.68,B - Medium-High
numpy,51842,17867,35068,1.126,38.88,1.48,77.68,0.438,1.96,B - Medium-High
css,197430,75123,129155,0.81,31.07,1.53,77.59,0.252,1.72,B - Medium-High
git,45606,23809,30470,2.295,25.1,1.5,75.99,0.576,1.28,B - Medium-High
x86-64,1776,693,1436,3.304,50.06,1.24,72.95,1.654,2.07,B - Medium-High
x86,2801,959,2339,2.477,45.66,1.2,71.33,1.131,2.44,B - Medium-High
terraform,12065,4724,9328,1.651,40.37,1.29,69.96,0.667,1.97,B - Medium-High
laravel,86131,28501,60001,0.914,30.22,1.44,68.38,0.276,2.11,B - Medium-High
seaborn,5246,2140,4278,1.712,52.63,1.23,67.96,0.901,2.0,B - Medium-High
regex,59729,19988,37536,1.04,38.71,1.59,67.18,0.403,1.88,B - Medium-High
pytorch,13171,5618,10389,1.563,39.25,1.27,67.06,0.613,1.85,B - Medium-High
json,93365,50473,65965,0.883,36.51,1.42,66.92,0.323,1.31,B - Medium-High
plotly,7010,2985,5827,1.52,49.56,1.2,66.8,0.753,1.95,B - Medium-High
google-cloud-platform,24984,9276,19390,1.243,34.32,1.29,66.65,0.427,2.09,B - Medium-High
tensorflow,32216,13978,25656,1.134,33.77,1.26,66.18,0.383,1.84,B - Medium-High
mongodb,51246,22999,39774,0.881,36.58,1.29,65.63,0.322,1.73,B - Medium-High
azure-devops,17912,5718,13553,1.233,39.15,1.32,65.46,0.483,2.37,B - Medium-High
react-native,70796,30442,48804,1.249,27.05,1.45,65.14,0.338,1.6,B - Medium-High
spring-boot,65452,28262,48372,1.01,30.12,1.35,64.73,0.304,1.71,B - Medium-High
bash,46885,15412,29762,1.283,32.55,1.58,63.55,0.418,1.93,B - Medium-High
mysql,100570,42520,72320,0.766,32.73,1.39,63.22,0.251,1.7,B - Medium-High
arrays,141794,56945,83652,0.916,33.23,1.7,62.93,0.304,1.47,B - Medium-High
f#,2982,718,2216,2.094,48.73,1.35,62.71,1.02,3.09,B - Medium-High
excel,65257,19437,49105,0.671,35.25,1.33,62.68,0.237,2.53,B - Medium-High
.net-core,23983,12953,17552,1.551,35.77,1.37,62.62,0.555,1.36,B - Medium-High
github-actions,5632,3421,4226,2.959,39.01,1.33,62.58,1.154,1.24,B - Medium-High
apache-spark,25927,7972,20103,1.0,35.84,1.29,62.55,0.358,2.52,B - Medium-High
c++17,6323,1977,4280,2.206,43.46,1.48,62.46,0.959,2.16,B - Medium-High
sql-server,67806,20384,46470,0.817,33.51,1.46,61.1,0.274,2.28,B - Medium-High
templates,10627,4182,7607,1.706,41.71,1.4,59.91,0.712,1.82,B - Medium-High
pyspark,19473,5838,14938,1.012,39.19,1.3,59.48,0.397,2.56,B - Medium-High
linux,47706,25633,34843,1.247,29.56,1.37,58.59,0.369,1.36,B - Medium-High
vba,45643,9601,34508,0.606,35.88,1.32,57.91,0.218,3.59,B - Medium-High
pyqt5,5920,2056,5151,1.04,56.28,1.15,57.85,0.585,2.51,B - Medium-High
xcode,28142,15332,19167,2.028,27.03,1.47,57.8,0.548,1.25,B - Medium-High
keras,19566,8569,15540,1.176,36.53,1.26,57.28,0.43,1.81,B - Medium-High
github,22199,14036,15514,2.212,28.1,1.43,56.88,0.622,1.11,B - Medium-High
.net,44197,22999,33085,1.129,30.75,1.34,56.71,0.347,1.44,B - Medium-High
ruby-on-rails,30953,11419,24096,1.092,29.49,1.28,56.51,0.322,2.11,B - Medium-High
jestjs,12407,7900,9155,2.35,31.1,1.36,55.54,0.731,1.16,B - Medium-High
delphi,5691,1732,4678,1.53,39.29,1.22,55.53,0.601,2.7,B - Medium-High
next.js,19465,11412,13829,1.819,32.73,1.41,54.74,0.595,1.21,B - Medium-High
google-sheets-formula,8282,1129,6008,0.919,45.63,1.38,54.38,0.419,5.32,B - Medium-High
vuejs3,7165,3336,5243,1.948,42.01,1.37,54.36,0.818,1.57,B - Medium-High
material-ui,16251,9215,11181,1.844,34.9,1.45,51.57,0.643,1.21,B - Medium-High
visual-studio-code,38015,26876,24307,2.259,24.07,1.56,51.56,0.544,0.9,B - Medium-High
elasticsearch,15108,5884,12658,0.95,39.13,1.19,51.39,0.372,2.15,B - Medium-High
ruby,24776,9316,18017,1.26,29.94,1.38,51.22,0.377,1.93,B - Medium-High
blazor,9671,3762,6728,1.779,37.72,1.44,51.2,0.671,1.79,B - Medium-High
spring,51797,23793,38148,0.994,28.21,1.36,51.06,0.28,1.6,B - Medium-High
